HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Pinpoint 3D MR Safe
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,200613
Manufacturer,PTW
Model,Pinpoint 3D MR Safe
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.83,[pA]
Reference detector,-0.908,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-08T17:30:59.8618731-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,1.66,[cm]
Field size inline,1.66,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-2,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,2,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.00,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,40000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.009631,[cm]
Calculated field width,1.586381,[cm]
Calculated penumbra left,0.390844,[cm]
Calculated penumbra right,0.444058,[cm]
Calculated symmetry,4.265,[%]
Normalisation factor,0.607273,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-1.95,0.0005,-5.0006,-1.254,
-1.85,0.0008,-5.0012,-1.559,
-1.7499,0.0008,-5.0011,-1.840,
-1.6498,0.0007,-5.0011,-2.351,
-1.5498,0.0006,-5.001,-2.909,
-1.4498,0.0005,-5.001,-3.741,
-1.3499,0.0005,-5.0009,-4.890,
-1.2499,0.0004,-5.0009,-6.691,
-1.1499,0.0003,-5.0008,-9.497,
-1.0499,0.0002,-5.0008,-14.329,
-0.95,0.0001,-5.0007,-23.067,
-0.85,0.0001,-5.0007,-38.000,
-0.75,0,-5.0006,-56.061,
-0.6499,-0.0001,-5.0006,-73.015,
-0.5498,-0.0002,-5.0005,-85.573,
-0.4498,-0.0002,-5.0005,-92.612,
-0.3499,-0.0003,-5.0004,-96.712,
-0.25,-0.0004,-5.0004,-98.952,
-0.1499,-0.0005,-5.0003,-99.711,
-0.0499,-0.0006,-5.0003,-100.000,
0.05,-0.0006,-5.0002,-99.776,
0.1502,-0.0006,-5.0002,-99.117,
0.2501,-0.0005,-5.0002,-97.502,
0.35,-0.0005,-5.0002,-95.097,
0.4501,-0.0005,-5.0002,-90.486,
0.5502,-0.0004,-5.0002,-83.267,
0.6501,-0.0004,-5.0002,-72.891,
0.75,-0.0004,-5.0002,-58.343,
0.8501,-0.0003,-5.0001,-42.532,
0.9502,-0.0003,-5.0001,-28.150,
1.0501,-0.0003,-5.0001,-17.368,
1.15,-0.0002,-5.0001,-10.490,
1.2501,-0.0002,-5.0001,-6.277,
1.3501,-0.0002,-5.0001,-4.110,
1.45,-0.0001,-5.0001,-2.958,
1.5501,-0.0001,-5.0001,-2.299,
1.6501,0,-5.0001,-1.950,
1.7501,0,-5.0001,-1.663,
1.85,0,-5,-1.483,
1.95,0.0001,-5,-1.362,

Checksum:,A37583B55279D130395A51B63511D5D629FF8FE1305370AF7791AF532BBDB751
