HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.895 mm, Y=0.112 mm, Z=0.001 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Pinpoint 3D MR Safe
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,200613
Manufacturer,PTW
Model,Pinpoint 3D MR Safe
Bias voltage,300,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.83,[pA]
Reference detector,-0.908,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-08T17:46:23.5290290-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,2.49,[cm]
Field size inline,2.49,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Completed successfully
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-21,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.00,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,211000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,56.067,[%]
Calculated D20,28.295,[%]
DMax,1.368409,[cm]
Normalisation factor,0.458383,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0446,0.0056,-20.9501,-26.688,
0.0895,0.0112,-20.85,-26.784,
0.0892,0.0111,-20.75,-26.999,
0.0886,0.011,-20.65,-27.138,
0.0881,0.0108,-20.55,-27.332,
0.0875,0.0107,-20.45,-27.498,
0.0869,0.0106,-20.35,-27.676,
0.0864,0.0104,-20.25,-27.861,
0.0858,0.0103,-20.15,-28.036,
0.0853,0.0102,-20.05,-28.224,
0.0847,0.0101,-19.95,-28.367,
0.0841,0.0099,-19.85,-28.618,
0.0836,0.0098,-19.75,-28.785,
0.083,0.0097,-19.65,-29.025,
0.0825,0.0095,-19.55,-29.137,
0.0819,0.0094,-19.45,-29.367,
0.0813,0.0093,-19.35,-29.548,
0.0808,0.0092,-19.25,-29.765,
0.0802,0.009,-19.15,-29.992,
0.0796,0.0089,-19.05,-30.164,
0.0791,0.0088,-18.95,-30.376,
0.0785,0.0087,-18.85,-30.585,
0.078,0.0085,-18.75,-30.764,
0.0774,0.0084,-18.65,-30.988,
0.0768,0.0083,-18.55,-31.157,
0.0763,0.0081,-18.45,-31.421,
0.0757,0.008,-18.35,-31.589,
0.0752,0.0079,-18.2501,-31.766,
0.0746,0.0078,-18.15,-32.041,
0.074,0.0076,-18.05,-32.241,
0.0735,0.0075,-17.95,-32.366,
0.0729,0.0074,-17.8501,-32.683,
0.0724,0.0072,-17.75,-32.889,
0.0718,0.0071,-17.65,-33.091,
0.0712,0.007,-17.55,-33.298,
0.0707,0.0069,-17.45,-33.475,
0.0701,0.0067,-17.35,-33.750,
0.0696,0.0066,-17.25,-33.992,
0.069,0.0065,-17.15,-34.205,
0.0684,0.0063,-17.05,-34.435,
0.0679,0.0062,-16.95,-34.634,
0.0673,0.0061,-16.85,-34.929,
0.0668,0.006,-16.75,-35.162,
0.0663,0.0059,-16.65,-35.467,
0.0658,0.0058,-16.55,-35.621,
0.0653,0.0058,-16.45,-35.869,
0.0648,0.0058,-16.35,-36.128,
0.0644,0.0058,-16.25,-36.338,
0.0639,0.0058,-16.15,-36.542,
0.0634,0.0058,-16.05,-36.805,
0.0629,0.0058,-15.95,-37.068,
0.0625,0.0057,-15.85,-37.354,
0.062,0.0057,-15.75,-37.617,
0.0615,0.0057,-15.65,-37.893,
0.0611,0.0057,-15.5501,-38.194,
0.0606,0.0057,-15.45,-38.364,
0.0601,0.0057,-15.35,-38.623,
0.0596,0.0057,-15.25,-38.874,
0.0592,0.0057,-15.15,-39.169,
0.0587,0.0056,-15.05,-39.424,
0.0582,0.0056,-14.95,-39.711,
0.0577,0.0056,-14.85,-39.931,
0.0573,0.0056,-14.7501,-40.215,
0.0568,0.0056,-14.6501,-40.869,
0.0563,0.0056,-14.55,-40.870,
