HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.905 mm, Y=0.111 mm, Z=0.001 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Edge SN 81643035
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,81643035
Manufacturer,Sun
Model,EDGE
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.821,[pA]
Reference detector,-0.889,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-01T16:44:19.2209728-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,3.32,[cm]
Field size inline,3.32,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Completed successfully
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-21,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,-0.02,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,211000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,56.921,[%]
Calculated D20,28.803,[%]
DMax,1.396504,[cm]
Normalisation factor,0.004408,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0451,0.0054,-20.9501,-27.093,
0.0905,0.0111,-20.85,-27.225,
0.0901,0.0109,-20.75,-27.431,
0.0896,0.0108,-20.65,-27.629,
0.0889,0.0107,-20.55,-27.792,
0.0881,0.0105,-20.45,-27.960,
0.0876,0.0104,-20.35,-28.148,
0.087,0.0103,-20.25,-28.294,
0.0865,0.0101,-20.15,-28.499,
0.0859,0.01,-20.05,-28.702,
0.0854,0.0099,-19.95,-28.904,
0.0848,0.0098,-19.85,-29.119,
0.0842,0.0096,-19.75,-29.256,
0.0837,0.0095,-19.65,-29.496,
0.0831,0.0094,-19.55,-29.655,
0.0826,0.0092,-19.45,-29.846,
0.082,0.0091,-19.35,-30.068,
0.0814,0.009,-19.25,-30.309,
0.0809,0.0088,-19.15,-30.452,
0.0803,0.0087,-19.05,-30.675,
0.0798,0.0086,-18.95,-30.879,
0.0792,0.0084,-18.85,-31.069,
0.0786,0.0083,-18.75,-31.265,
0.0781,0.0082,-18.65,-31.459,
0.0775,0.0081,-18.55,-31.690,
0.077,0.0079,-18.45,-31.979,
0.0764,0.0078,-18.35,-32.119,
0.0759,0.0077,-18.2501,-32.254,
0.0753,0.0075,-18.15,-32.494,
0.0747,0.0074,-18.05,-32.784,
0.0742,0.0073,-17.95,-32.956,
0.0736,0.0071,-17.8501,-33.171,
0.0731,0.007,-17.75,-33.361,
0.0725,0.0069,-17.65,-33.715,
0.0719,0.0067,-17.55,-33.879,
0.0714,0.0066,-17.45,-34.124,
0.0708,0.0065,-17.35,-34.298,
0.0703,0.0063,-17.25,-34.578,
0.0697,0.0062,-17.15,-34.797,
0.0691,0.0061,-17.05,-35.043,
0.0686,0.006,-16.95,-35.293,
0.068,0.0058,-16.85,-35.542,
0.0675,0.0057,-16.75,-35.739,
0.0669,0.0056,-16.65,-35.965,
0.0664,0.0055,-16.55,-36.280,
